Competitor Landscape,,,,,,,,,,,,,Courses on Design,,Courses on Computer Science,,,,,,,,,,,Social Site Follower,,,
SL,Platform Name,Web Address,Launching Date ,e Teachers,Total_Number_of_Courses,Total Students ,Having Live class,Live Classes Number ,Total Category Number ,Courses on Skill/professional Development,Courses on  development/design(web/software/game),Courses on digital marketing ,Courses on Design(including graphic),Courses on Video editing,Courses on Data Science,Courses on programming,Other, Academic Courses,Language Courses,Competitive courses,Freelancing course,Free Courses,Number of website blogs,Courses with highest price(in tk),Courses with lowest price(in tk),Facebook,You Tube,Number of employees,Financier
33,Opportunities for Kids,https://ofkbd.com/,"June,2019",25,7,27500,1,,8,3,0,0,0,0,0,2,2,0,0,0,0,7,112,0,0,14000,1040,"
201-500",Own finance
34,Ostad,https://ostad.app/,"December, 2019",NA,21,NA,1,21,9,3,1,0,3,0,2,2,1,2,5,2,0,0,13,3500,1000,44243,,10,Own finance
35,Our Professors,www.ourprofessors.com,2018,10,39,NA,0,0,2,2,0,0,0,0,0,0,0,37,0,0,0,11,9,12000,1000,7728,860,Nov-50,Own finance
36,passive journel university,https://khalidfarhan.com/,"September, 2015",1,8,NA,0,0,3,0,3,4,1,0,0,0,0,0,0,0,0,0,22,15000,0,,402000,NA,Own finance
37,Problemkiacademy,https://problemkiacademy.com/,"January, 2021",96,5,33687,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,7000,1000,,118000,10,Own finance
38,Quick Team Academy,https://quickteamacademy.com/,"May, 2020",3,6,18934,1,1,2,0,0,0,1,0,0,0,0,0,0,0,5,0,0,499,200,6116,119000,Oct-50,Own finance
39,Repto,https://repto.com.bd/,"March,2018",545,93,115448,0,0,9,20,9,17,22,6,0,5,7,2,4,0,0,2,44,10000,100,82382,49200,Nov-50,Local market finance
40,Shikkhok. com,http://shikkhok.com/,"August, 2012",14,63,NA,0,0,8,5,8,0,1,0,0,8,11,25,4,0,1,63,5,0,0,607,3490,NA,Own finance
41,Shikun,https://shikhun.net/,"December,2016",NA,12,NA,0,0,2,0,10,0,0,0,0,2,0,0,0,0,0,12,0,0,0,26600,29900,NA,Local market finance
42,SP Cloud Academy,https://spca.gnomio.com/,,NA,9,NA,,,3,1,1,0,0,0,0,0,7,0,0,0,0,0,0,20000,2000,1090,205,NA,Own finance
43,Stack Learner,https://courses.stackschool.co/,,NA,13,NA,0,0,3,0,4,0,0,0,0,7,2,0,0,0,0,9,0,75000,35000,38516,63200,10-Jan,Own finance
44,StudyPress,https://studypress.org/,,NA,0,123060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963,0,0,147166,727,NA,Own finance
45,Teach It,https://teachit.online/,,NA,5,NA,0,0,2,0,0,0,0,0,0,1,0,4,0,0,0,4,0,50,0,19927,,10-Jan,Own finance
46,TESOL Bangladesh,https://tesolbd.com/,,4,12,642,1,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,12,4000,1200,2060,11000,Nov-50,Own finance
47,Thriving Skills,https://thrivingskill.com/,,NA,252,NA,1,140,7,60,0,6,0,1,2,2,9,0,1,0,0,0,2,2000,419,32465,423,Nov-50,Own finance
48,Udvash-Unmesh-Uttoron,https://udvash.com/Home-Page,,NA,15,NA,1,15,2,0,0,0,0,0,0,0,0,10,0,5,0,0,0,21000,3000,539696,"204000
",NA,Own finance
49,Upskill,https://upskill.com.bd/,,NA,51,NA,1,51,5,22,0,7,3,0,14,3,2,0,0,0,0,0,57,250,250,11447,603,30,Local market finance
50,Userhub,https://userhub.com.bd/,,NA,13,NA,0,0,2,0,2,0,11,0,0,0,0,0,0,0,0,0,0,36000,18000,30239,,Nov-50,Own finance
51,We Make Pro,https://wemakepro.com/,2019,NA,13,NA,0,0,5,0,1,8,2,0,0,0,1,0,0,0,1,3,8,25000,899,4612,317,NA,Own finance
52,????? ????????? ?????,https://baschool.net/,2020,NA,15,350,0,0,2,14,0,0,1,0,0,0,0,0,0,0,0,0,7,20000,180,10621,2220,10-Jan,Own finance
53,????? ??????????? - Bangla Tutorials,https://www.banglatutorials.com/,,NA,12,786,1,0,4,5,2,4,1,0,0,0,0,0,0,0,0,0,18,25000,2500,2386,,NA,Own finance
54,????????,https://www.muktopaath.gov.bd/,2016,NA,200,5,0,0,,81,0,1,0,0,0,0,4,8,7,0,0,85,4,300,300,32838,32900,201-500,Local market finance
